lp ---	kod	nazwa	grupa	dostawca	iloúÊ	cena netto	cena zakupu	[-OPAKOWANIE]	[-WAGA-JEDNOSTKOWA]	[-WAGA-OPAKOWANIA]	[-INDEKS-DOSTAWCY]	[-PLIK-FOTO]
286	5905669629034	SBK LAGER	LAGER	SBK	54	3,90	3,40	Lager (Keller) Piwo dolnej fermentacji (typ lager), nisko gazowane, naturalnie mÍtne, o charakterystycznej bursztynowej barwie i delikatnym aromacie dÍbowej beczki.	5,9 g	13,5 g	Lager	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\sbk\Lager.png 
287	5905669629096	SBK NEW ENGLAND WHEAT	WHEAT	SBK		4,94	4,30	17-12-22				
288	5905669629058	SBK PSZENICZNE	WHEAT	SBK	50	3,90	3,40	Smak orzeüwiajπcy, wzbogacony nutπ cytrusÛw, banana, ananasa i goüdzika. Doskona≥e do owocÛw morza.	5,8 g	13,4 g	Pszeniczne	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\sbk\Pszeniczne.png 
289	5905669629065	SBK RED LAGER	LAGER	SBK	45	4,42	3,82	Red Lager Piwo dolnej fermentacji (typ lager), s≥odko zboøowy aromat, lekka, przyjemna goryczka, posmak úwieøo zmielonego zboøa	5,5 g	13 g	Lager	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\sbk\Czerowny Lager.png 
290	5906874512005	SOCHO AMERICAN WHEAT	WHEAT	SOCHO			4,10	17-10-10				
291	5906874512036	SOCHO BIA£A DAMA	IPA	SOCHO		6,30	4,7007	17-10-10				
292	5906874512012	SOCHO CITRUS RYE ALE	APA	SOCHO		5,13	4,10	17-10-10				
293	5906874512043	SOCHO IPA	IPA	SOCHO			5,-	17-10-10				
294	5906874512081	SOCHO NAMI TNY WITEK	WHEAT	SOCHO		5,52	4,30	18-01-20				
295	5906874512074	SOCHO PIWO AWANGARDA SOCHACZEW	APA	SOCHO		5,52	4,30	18-01-20				
296	5906874512050	SOCHO SHERLOCK CHMIELS	IPA	SOCHO			4,30	17-11-20				
297	5906874512067	SOCHO SOCHACZEWSKI ALE	APA	SOCHO			4,30	17-11-20				
298	5905279213104	STU MOST”W PILS BUT. 0,5 L	LAGER	Kraina Piwa		5,63	4,50	17-03-29				
299	5903111253080	SZA£PIW Piwo Bamber butelka 0,5l	WHEAT	SZA£ PIW		5,05	4,04	17-08-09				
300	5903111253059	SZA£PIW Piwo Kejter butelka 0,5l	APA	SZA£ PIW		5,34	4,27	17-07-04				
301	5903111253233	SZA£PIW Piwo Petronelka butelka 0,5l	WHEAT	SZA£ PIW		5,38	4,30	18-01-26				
302	5905279326125	SZPUNT AMBA	LAGER	SZPUNT		5,46	4,34	18-03-07				
303	5905279326255	SZPUNT COFFE CUP	STOUT	SZPUNT		5,52	4,44					
304	5905279326309	SZPUNT EQUATHOR	IPA	SZPUNT	49	6,89	5,49	Double IPA intensywnie nachmielone odmianπ Ekuanot. Wyraüna goryczka oraz bogaty øywiczno-owocowy aromat pokazujπ na co staÊ ten chmiel!	7,5 g	18 g	Double IPA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\szpunt\Equathor.jpg 
305	5905279326200	SZPUNT ESCAPE	IPA	SZPUNT		6,24	4,99	18-02-17				
306	5905279326262 	SZPUNT GALAXON	IPA	SZPUNT	13	6,50	5,19	Soczyste, pe≥ne rzeúkiego smaku brzoskwini i marakui piwo przypominajπce owocowego shakea! Jazda bez trzymanki dla waszych kubkÛw smakowych i orzeüwiajπca soczysta bomba w jednym!	6 g	15 g	 Peach Passionfruit Milkshake IPA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\szpunt\galaxon.jpg 
307	5905279326231	SZPUNT MANGONEL	IPA	SZPUNT	13	6,50	5,19	Przedstawiamy Wam Mangonela - soczyste i mocno owocowe Mango Wheat IPA, ktÛrym przed≥uøamy wakacyjny klimat. Wrzuciliúmy do niego duøo amerykaÒskiego chmielu odmian Citra i Mosaic, a g≥Ûwnym dodatkiem jest oczywiúcie mango! 	6,5 g	15 g	Mango Wheat IPA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\szpunt\mangonel.jpg 
308	5905279326064	SZPUNT NIGAMI	IPA	SZPUNT		5,72	4,59					
309	5905279326156	SZPUNT NIGHT WOLF	STOUT	SZPUNT	33	5,52	4,44	Wytrawne, torfowe, czekoladowe w aromacie. W smaku rÛwnieø wytrawnie, gorzka czekolada, delikatne nuty torfowe, na finiszu cierpka dÍbowa, goryczka	5,9 g	14,9 g	WHISKY STOUT	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\szpunt\night wolf.jpg 
310	5906395497645	SZPUNT SATO	APA	SZPUNT		6,24	4,99	18-03-20				
311	5905279326293 	SZPUNT SOUR FORCE	INNE	SZPUNT		7,28	5,84					
312	5905279326194	SZPUNT SPECTRUM	STOUT	SZPUNT		10,73	8,59					
313	5905279326286	SZPUNT TIANAJPA	IPA	SZPUNT	34	6,50	5,19	Tianajpa to nasza interpretacja dodatku herbaty w piwie. Do bazowego stylu India Pale Ale dodane zosta≥y dwie herbaty z Tajwanu - Tung Ting Zamarz≥y wierzcho≥ek i Yuan Shen. Pierwsza jest klasycznym oolongiem tajwaÒskim uprawianym w majestacie gÛry Tung Ting, druga to tzw. oolong miodowy o niespotykanych s≥odkich nutach. Obie znakomicie wpisujπ siÍ w chmielowo-owocowy charakter stylu IPA, a jednoczeúnie stanowiπ delikatnπ nutÍ obecnπ w smaku i aromacie.	6 g	15 g	 Oolong Tea IPA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\szpunt\tianajpa.jpg 
314	5905279326163	SZPUNT WORMHOLE	IPA	SZPUNT	59	7,34	5,89	Piwo Wormhole w stylu Imperial IPA chmielone odmianami Citra, Amarillo, Centennial i Apollo, uwarzone w ramach kooperacji browarÛw Szpunt i Olimp.	8 g	20 g	Imperial IPA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\szpunt\wormhole.jpg 
315	5905279326316	SZPUNT WORMHOLE BA	IPA	SZPUNT	51	16,12	12,90	Wormhole Barrel Aged! Imperial IPA leøakowane 3 miesiπce w beczkach po Jacku Danielsie trafi≥o do butelek i juø wkrÛtce wyjdzie w PolskÍ. Spodziewajcie siÍ niezapomnianych wraøeÒ - dÍbowe beczki zrobi≥y swoje! 	8 g	20 g	Imperial IPA BBA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\szpunt\wormhole BBA.jpg 
316	5905279326996	SZPUNT ZESTAW (2 PIWA+SZKLANKA)	INNE	SZPUNT		22,89	18,30	18-02-17				
317	5905669479189	TRZECH KUMPLI MISTY BUT. 0,5 L	IPA	Kraina Piwa		6,56	5,25	17-07-25				
318	5905669479233	TRZECH KUMPLI PILS	LAGER	Kraina Piwa			4,30	17-10-07				
319	5904730465052	WR ØEL AIPA	IPA	WR ØEL	81	6,04	4,72	AmerykaÒski charakter z mocnym uderzeniem goryczki. WoÒ øywicznych lasÛw Ameryki spotyka siÍ z soczystymi owocami Florydy. A wszystko to w jednej butelce tego wyjπtkowego AIPA.	6,8 g	16,5 g	AIPA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\Wrezel\AIPA Wrezel.png 
320	5904730465182	WR ØEL American Black Rye Ale	IPA	WR ØEL		5,78	4,65	18-01-04				
321	5904730465137	WR ØEL DOUBLE WITBIER	WHEAT	WR ØEL	48	5,85	4,55	Belgijskie bia≥e piwo ≥πczπce w sobie delikatnoúÊ nies≥odowanej pszenicy, pomaraÒczowo - cytrynowe orzeüwienie oraz ciekawe po≥πczenie 3 aromatycznych odmian chmielu wraz z kolendrπ indyjskπ.	6,7 g	16,5 g	 Double Witbeer	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\Wrezel\Double Witbier Wrezel.png 
322	5904730465328	WR ØEL GREJPFRUT IPA	IPA	WR ØEL		6,04	4,71					
323	5904730465274	WR ØEL IMPERIAL STOUT	STOUT	WR ØEL		8,25	6,24	18-03-08 / 19-02-02				
324	5904730465281	WR ØEL IMPERIAL STOUT HOGSHEAD/SLYRS	STOUT	WR ØEL	28	14,63	11,41	Czarne Z≥oto - tak zwykle mawia sie o Imperialnych Stoutach, piwach ktÛre gwarantujπ wspania≥e doznania degustacyjne. Tak teø jest w tym przypadku! 4 miesiπce leøakowania z p≥atkami dÍbowymi Whisky, a nastÍpnie 6 miesiÍczny finish w dÍbowych bÍczkach	11,5 g	24,5 g	RIS WHISKY BA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\Wrezel\IMPERIAL STOUT - HOGSHEAD SINGLEMALT BARREL AGED.png 
325	5904730465045	WR ØEL JASNE PSZENICZNE	WHEAT	WR ØEL	80	4,74	3,72	Lekko chmielone, z potÍønym zasypem s≥odÛw pszenicznych, fermentowane przy uøyciu specjalnego szczepu droødøy, zabierze CiÍ w podrÛø gdzie zasmakujesz w piwie pe≥nym, a zarazem orzeüwiajπcym, ktÛremu towarzyszyÊ bÍdzie bananowo - goüdzikowy aromat. 	4,9 g	12 g	PSZENICZNE	
326	5904730465250	WR ØEL MIå WOJTEK (RED ALE)	APA	WR ØEL	60	5,85	4,55	Czerwone Piwo typu Ale, o bogatym s≥odowym smaku, ktÛry przeplata siÍ z kwiatowo-owocowym aromatem chmielu. Leøakowane z dodatkiem p≥atkÛw dÍbowych macerowanych w miodzie o korzenno-zio≥wym profilu aromatycznym.	5,4 g	14 g	ALE	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\Wrezel\wrezel-mis-wojtek-redale-render-transp-www-500x500-s.png 
327	5904730465236	WR ØEL MIå WOJTEK (SUMMER ALE)	APA	WR ØEL		5,65	4,40	 				
328	5904730465267	WR ØEL PARADISE PALE ALE	APA	WR ØEL	60	6,04	4,69	Dla Was ≥πczymy ociekajπce amerykaÒskim chmielem, jasne i lekkie klasyczne APA oraz tropikalne owoce Kiwi i Magno. DziÍki zmiksowaniu úwieøych owocÛw i zmieszaniu ich z piwem w pÛünym etapie leøakowania poczujesz ich smak i aromat, ktÛry idealnie wspÛ≥gra z øywiczno-owocowymi nutami chmielu Chinook oraz Mosaic. 	5,6 g	14 g	APA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\Wrezel\wrezel-ppa-500x500-s.png 
329	5904730465304	WR ØEL PSZENICZNE Z MANGO	WHEAT	WR ØEL	3	5,65	4,41					
330	5904730465311	WR ØEL PSZENICZNE Z PORZECZK•	WHEAT	WR ØEL	56	5,39	4,23	Zasmakuj z Nami hybrydy piwa pszenicznego z dodatkiem Czarnej Porzeczki. Lekko chmielone, z potÍønym zasypem s≥odÛw pszenicznych, fermentowane przy uøyciu specjalnego szczepu droødøy, wraz z sokiem z czarnej porzeczki, dodanym w pÛünym etapie leøakowania. Trzymasz w rÍku piwo pe≥ne, a zarazem orzeüwiajπce, gdzie bananowo-goüdzikowy charakter przeplata siÍ z owocowoúciπ i aromatem czarnej porzeczki. Przed podaniem koniecznie wymieszaj naturalny osad, by w pe≥ni cieszyÊ siÍ walorami smakowymi.	4,3 g	12 g	Pszeniczne	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\Wrezel\Pszeniczne Jasne z Czarna Porzeczkπ.png 
331	5904730465113	WR ØEL Summer Ale	APA	WR ØEL		5,46	4,12	17-10-12				
332	5904730465403	WR ØEL TROPICAL BLACK IIPA	IPA	WR ØEL	80	6,37	4,97	Poznajcie Tropical IIPA w wersji Black. MnÛstwo tropikalnych owocÛw przeplata siÍ z piÍknym aromatem cytrusowego chmielu. Maksymalnie goryczkowa, owocowa i aromatyczna propozycja dla mi≥oúnikÛw nocnych wypadÛw na rajskie plaøe!	8,5 g	19,1 g	IIPA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\Wrezel\wrezel-double-vermont-ipa-500x500-s.png 
333	5904730465243	WR ØEL TROPICAL IMPERIAL IPA 	IPA	WR ØEL	100	6,50	5,09	Tropikalna wersja Imperialnej IPA - maksymalnie goryczkowa, maksymalnie owocowa, maksymalnie aromatyczna. Dla Ciebie po≥πczyliúmy smak tropikalnych owocÛw i najbardziej aromatyczne gatunki chmielu zza wielkiej wody. W tym piwie znajdziesz wszystko co potrzebne aby poczuÊ siÍ jak w raju. Nie zastanawiaj siÍ d≥uøej! £ap za butelkÍ!	8,5 g	19,1 g	IMPERIAL IPA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\Wrezel\wrezel-tiipa-wizka-www-500x500-s.png 
334	5904730465298	WR ØEL TROPICAL LITTLE IPA	IPA	WR ØEL	80	5,98	4,64	Przedstawiamy Wam m≥odszego braciszka naszej podwÛjnej Tropikalnej IPY! PiÍkny aromat po≥πczony z zadziwiajπco owocowym smakiem i rzeúkπ cytrusowo-øywicznπ goryczkπ. Lekka, bardzo sesyjna i orzeüwiajπca IPA, ktÛra dotrzyma Ci towarzystwa i sprawi, øe uúmiech na d≥ugo zagoúci na Twojej twarzy!	5,8 g	14 g	IPA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\Wrezel\wrezel-tropical-little-ipa-www-500x500-s.png 
335	5904730465366	WR ØEL VANILLA MILK STOUT	STOUT	WR ØEL	80	5,85	4,57	Vanilla Milk Stout... warzony we wspÛ≥pracy z lokalnπ palarniπ kawy WE-COFFEE dzia≥ajπcπ w Bielsku-Bia≥ej. Aksamitny, pe≥ny i czekoladowy, wype≥niony po brzegi aromatem i smakiem úwieøo palonej kawy - Gwatemali "el Morito Estate", dodanej wraz z ziarnami kakaowca i waniliπ na trzy tygodniowe leøakowanie. Ca≥oúÊ stanowi wyjπtkowe po≥πczenie rzemieúlniczej kawy, z sercem wk≥adanym w warzenie piwa...	6,5 g	16,5 g	STOUT	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\Wrezel\wrezel-vanilla-wizkawww-500x500-s.png 
336	5904730465120	WR ØEL VERMONT AIPA	IPA	WR ØEL	63	6,04	4,70	Vermont, New England, Hazy...IPA - wiele jest okreúleÒ tego stylu piwa. Delikatnie chmielone na goryczkÍ w pÛünych etapach gotowania brzeczki. Obficie chmielone podczas fermentacji burzliwej oraz leøakowania. MÍtne i soczyste, pe≥ne owocowych aromatÛw pochodzπcych od chmielu, a takøe estrÛw produkowanych przez angielski szczep droødøy. SprÛbuj naszego soczystego AIPA w wersji Vermont ;)!	5,8 g	15,5 g	AIPA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\Wrezel\Vermont American IPA.png 
337	5904730465359	WR ØEL VERMONT DOUBLE IPA	IPA	WR ØEL	80	6,43	5,-	ZwiÍkszone chmielenie na goryczkÍ w pÛünych etapach gotowania brzeczki. Solidnie chmielone na smak i aromat. MÍtne i jeszcze bardziej soczyste, pe≥ne owocowych aromatÛw i aksamitne dziÍki zwiÍkszonemu udzia≥owi p≥atkÛw owsianych.	8,4 g	19,1 g	VERMONT DOUBLE IPA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\Wrezel\wrezel-double-vermont-ipa-500x500-s.png 
338	5904730465212	WR ØEL WHEAT IPA	IPA	WR ØEL	58	5,98	4,67	Pszeniczna IPA to po≥πczenie lekkoúci i treúciwoúci piwa pszenicznego z duøπ mocπ, goryczkπ i cytrusowo-owocowym charakterem AmerykaÒskiego IPA. Z≥oøona w smaku wariacja stylu, pe≥na wyrazistej goryczki i nadzwyczajnych aromatÛw. Stworzone dla Ciebie z pasja przez browar daleki od masowej produkcji!	6,3 g	15,5 g	WHEAT IPA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\Wrezel\Wheat India Pale Ale.png 
339	5906395388066	ZAK£ADOWY BRAMA WJAZDOWA	WHEAT	ZAK£ADOWY			4,48	17-06-30				
340	5906395388073	ZAK£ADOWY CI ØKI £ADUNEK	IPA	ZAK£ADOWY			5,73	17-07-06				
341	5906395388028	ZAK£ADOWY PRODUKT WZORCOWY	IPA	ZAK£ADOWY			4,84	17-06-30				
342	5906395388219	ZAK£ADOWY WNIOSEK URLOPOWY	IPA	ZAK£ADOWY			5,19	17-06-07				
343	5906874605516	ZM CICHY WIECZ”R	INNE	ZM		5,52	4,9386	Bursztynowy kolor, gÍsta piana, esencjonalne. Chmielone z umiarem. Smak i aromat zawdziÍcza duøej dawce s≥odu øytniego oraz pracy droødøy gÛrnej fermentacji.	5,8 g	14 g	Øytnie Bawarskie	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\za miastem\cichy-wieczor.png 
344	5906874605509	ZM D£UGI WEEKEND	LAGER	ZM	55	4,74	4,24	Klasyka gatunku w rzemieúlniczej ods≥onie. Z≥oty kolor, kremowa piana oraz przyjemna goryczka. Szlachetny aromat to zas≥uga chmielenia na zimno z uøyciem chmielu øateckiego.	5 g	12 g	Pils	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\za miastem\dlugi-weekend.png 
345	5906874605059	ZM DOBRA NOC	STOUT	ZM	10	5,78	5,21	Tradycyjne piwo z wysp brytyjskich. Sesyjne, g≥adkie z umiarkowanπ goryczkπ. Barwa ciemna, niemal czarna, gÍsta kremowa piana. Posiada charakterystyczny aromat i smak praøonego ziarna z nutami kawy i gorzkiej czekolady. 	5,3 g	13,7 g	Oatmeal stout	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\za miastem\dobra-noc.png 
346	5906874605523	ZM DZIE— WOLNY	WHEAT	ZM	56	5,13	4,60	Niefiltrowane, naturalnie mÍtne. åwieøe i delikatne, z lekkπ goryczkπ. Przyjemny aromat bananÛw i goüdzikÛw to efekt uøycia duøej iloúci s≥odu pszenicznego i specyficznych droødøy gÛrnej fermentacji. 	5,6 g	12,5 g	Pszeniczne	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\za miastem\dzieÒ-wolny.png 
347	5906874605547	ZM NA WYPASIE	IPA	ZM	13	5,46	4,90	India Pale Ale w nieco løejszej wersji Niefiltrowane piwo o z≥otym kolorze i kremowej pianie chmielone na zimno z wykorzystaniem amerykaÒskich chmieli. Rzeúkie, goryczkowe piwo z wyraünym aromatem cytrusÛw. Dobrze orzeüwia. Zbalansowana pe≥nia, s≥odycz i g≥adka goryczka sprawiajπ, øe pije siÍ je lekko i z duøπ frajdπ.	4,6 g	11,5 g	Session IPA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\za miastem\na-wypasie.jpg 
348	5906874605073	ZM POGODA DUCHA	INNE	ZM	29	5,78	5,20	Inspirowane bogatπ belgijskπ tradycjπ treúciwe piwo o miedzianym kolorze i gÍstej pianie. Chmielone z umiarem. Posiada z≥oøony s≥odowy i delikatnie owocowy aromat. Smak bogaty: s≥odowy, ciasteczkowy, suszonych owocÛw. 	7 g	16 g	Dubbel	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\za miastem\pogoda-ducha.png 
349	5906874605066	ZM åWI TY SPOK”J	IPA	ZM	35	6,11	5,50	Wyraziste piwo o barwie ciep≥ego bursztynu z wyraünπ goryczkπ i solidnπ s≥odowπ podbudowπ. Z≥oøony aromat i smak to zas≥uga kilku rodzajÛw chmielu, herbaty z bergamotkπ i trawy cytrynowej. 	6,5 g	14,4 g		C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\za miastem\úwiÍty-spokÛj.png 
350	5906874605530	ZM W£ASNE SPRAWY	APA	ZM		5,46	4,90	17-12-12				
351	0428769573854	ZZ ALMANAC FARMERS RESERVE RASPBERRY	ZZ	ZZ			39,40					
352	0428769578026	ZZ ALMANAC GRAND CRU RED	ZZ	ZZ			82,60					
353	0428769568812	ZZ ALMANAC STILLWATER BLUEBERRY JACK	ZZ	ZZ			42,95					
354	5411024000030	ZZ CANTILLON GUEUZE	ZZ	ZZ			32,50					
355	0428979813429	ZZ EVIL TWIN 7ENTH	ZZ	ZZ		14,-	12,60					
356	0428979818776	ZZ EVIL TWIN MOLOTOV	ZZ	ZZ		15,39	13,85					
357	0428979823473	ZZ EVIL TWIN SANGUINEM	ZZ	ZZ		14,44	13,-					
358	0428979806698	ZZ NOMADA IMPERIAL RASP	ZZ	ZZ		12,11	10,90					
359	0428979801426	ZZ PIZZA PORT 92 SWAMIS	ZZ	ZZ		15,83	14,25					
360	0428979794308	ZZ PIZZA PORT KOOK	ZZ	ZZ		17,72	15,95					
361	0428878932849	ZZ POKAL IMPERATOR 0,3	ZZ	ZZ		11,75	10,57					
362	0428979829390	ZZ SCHLENKERLA POKAL	ZZ	ZZ		13,56	12,20					
363	0428878904716	ZZ SZKLANKA NONIC 0,25	ZZ	ZZ		4,78	4,30					
364	0428878914142	ZZ SZKLANKA NONIC 0,5	ZZ	ZZ		5,61	5,05					
