lp ---	kod	nazwa	grupa	dostawca	iloúÊ	cena netto	cena zakupu	[-OPAKOWANIE]	[-WAGA-JEDNOSTKOWA]	[-WAGA-OPAKOWANIA]	[-INDEKS-DOSTAWCY]	[-PLIK-FOTO]
80	5903364108410	GOåCISZEWO LAGER SYBILLA	LAGER	GOåCISZEWO		3,90	3,02	17-05-25				
81	5903364108243	GOåCISZEWO PILS HALLERTAUER MITTELFRUH	LAGER	GOåCISZEWO		3,51	2,75	17-11-10				
82	5903364108328	GOåCISZEWO PILS MANDARINA BAVARIA	LAGER	GOåCISZEWO		3,51	2,75	17-07-10				
83	5903364108649	GOåCISZEWO PORTER BA£TYCKI W DZONY 0,5	PORTER	GOåCISZEWO		5,6125	4,49	17-12-31				
84	5903364108441	GOåCISZEWO PORTER BA£TYCKI W DZONY 0,75 2015	PORTER	GOåCISZEWO		43,75	35,-	18-09-30				
85	5903364108038	GOåCISZEWO RYBAK	LAGER	GOåCISZEWO		3,44	2,75	17-05-22				
86	5903364108014	GOåCISZEWO RYCERZ	LAGER	GOåCISZEWO		3,51	2,72	17-08-20 / 17-12-20				
87	5903364108055	GOåCISZEWO SO£TYS	INNE	GOåCISZEWO		3,77	2,93	17-09-28 / 17-10-26				
88	5903364108045	GOåCISZEWO SURFER	WHEAT	GOåCISZEWO		3,51	2,72	17-08-10 / 17-11-10				
89	5903364108663	GOåCISZEWO SZERYF	IPA	GOåCISZEWO		4,22	3,29	17-11-20				
90	5904730961929	HARPAGAN EKSTAZA	APA	HARPAGAN		6,63	4,99	17-11-30				
91	5904730961837	HARPAGAN IMBRYCZEK	WHEAT	HARPAGAN		6,63	4,99	17-09-30				
92	5904730290012	KINGPIN ROCKNROLLA 12,0∞ BUT. 0,5 L	APA	Kraina Piwa		6,31	5,05	17-07-18				
93	5904730961158	KONSTANCIN IPA	IPA	CZARNK”W		5,13	4,25					
94	5901549250756	KONSTANCIN PSZENICZNE	WHEAT	CZARNK”W		4,03	3,36					
95	5901549250770	KONSTANCIN Z D BOWEJ BECZKI	LAGER	CZARNK”W		4,03	3,36					
